SMPVR Participant ID = 22 Gender = W Age = 20 FasterSpeed = 2.76 SlowerSpeed = 1.46 LogFrequency = 0.05
Current Order of Blocks 99 20 5 99 20 6 99 20 1 99 20 15 99 20 4 99 20 16 99 20 13 99 20 11 99 20 10 99 20 12 99 20 8 99 20 2 99 20 3 99 20 7 99 20 14 99 20 9 99
blockLog,WalkingSpeedLog,forwardEyeLog,forwardEyeColorLog,OpticFlowSpeedLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,0, 16.05.12.891,0,0,326.1379,354.3545,1.982564
Interim,0,0,0,0, 16.05.13.355,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.356,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.357,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.358,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.360,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.360,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.361,0,0,326.2195,354.2959,1.935589
Interim,0,0,0,0, 16.05.13.407,0,0,328.3142,348.1092,2.602944
Interim,0,0,0,0, 16.05.13.454,0,0,328.9124,348.0409,2.384567
Interim,0,0,0,0, 16.05.13.511,0,0,329.5889,348.1069,2.1626
Interim,0,0,0,0, 16.05.13.554,0,0,330.0986,348.2826,2.01387
Interim,0,0,0,0, 16.05.13.610,0,0,330.7399,348.4739,2.082433
Interim,0,0,0,0, 16.05.13.654,0,0,331.3811,348.5948,2.28708
Interim,0,0,0,0, 16.05.13.711,0,0,332.1366,348.6446,2.509147
Interim,0,0,0,0, 16.05.13.756,0,0,332.3477,348.6547,2.681049
Interim,0,0,0,0, 16.05.13.800,0,0,332.3383,348.8054,2.801315
Interim,0,0,0,0, 16.05.13.855,0,0,332.0382,349.1011,3.053838
Interim,0,0,0,0, 16.05.13.900,0,0,331.6484,349.3999,3.250328
Interim,0,0,0,0, 16.05.13.956,0,0,331.445,349.644,3.598708
Interim,0,0,0,0, 16.05.14.005,0,0,331.6438,349.856,3.93709
Interim,0,0,0,0, 16.05.14.057,0,0,331.5429,350.0219,4.286277
Interim,0,0,0,0, 16.05.14.106,0,0,330.9832,350.243,4.447487
Interim,0,0,0,0, 16.05.14.159,0,0,330.6476,350.6789,4.405237
Interim,0,0,0,0, 16.05.14.204,0,0,330.7028,351.3172,4.41378
Interim,0,0,0,0, 16.05.14.259,0,0,331.4121,352.065,4.333853
Interim,0,0,0,0, 16.05.14.311,0,0,331.4521,352.3966,4.003769
Interim,0,0,0,0, 16.05.14.359,0,0,331.0924,352.4432,4.054101
Interim,0,0,0,0, 16.05.14.404,0,0,330.9292,352.4213,4.053168
Interim,0,0,0,0, 16.05.14.468,0,0,330.7224,352.7417,3.981307
Interim,0,0,0,0, 16.05.14.505,0,0,330.733,353.0511,3.846121
Interim,0,0,0,0, 16.05.14.562,0,0,330.8329,353.5064,3.680856
Interim,0,0,0,0, 16.05.14.608,0,0,330.879,353.4778,3.700565
Interim,0,0,0,0, 16.05.14.652,0,0,330.5664,352.9986,4.139404
Interim,0,0,0,0, 16.05.14.708,0,0,330.1309,352.4316,4.567631
Interim,0,0,0,0, 16.05.14.752,0,0,330.0936,352.3696,4.835787
Interim,0,0,0,0, 16.05.14.808,0,0,330.3763,352.3861,4.908025
Interim,0,0,0,0, 16.05.14.854,0,0,330.4391,352.1775,4.859866
Interim,0,0,0,0, 16.05.14.909,0,0,330.0753,351.79,4.743595
Interim,0,0,0,0, 16.05.14.954,0,0,329.6816,351.5824,4.672769
Interim,0,0,0,0, 16.05.15.009,0,0,329.6902,351.4272,4.304877
Interim,0,0,0,0, 16.05.15.054,0,0,329.4495,350.9189,4.37197
Interim,0,0,0,0, 16.05.15.104,0,0,329.3595,350.6285,4.288651
Interim,0,0,0,0, 16.05.15.155,0,0,329.2039,350.4678,4.357652
Interim,0,0,0,0, 16.05.15.209,0,0,329.1316,350.424,4.541146
Interim,0,0,0,0, 16.05.15.251,0,0,329.1187,350.5363,4.470088
Interim,0,0,0,0, 16.05.15.310,0,0,328.7706,350.888,4.751978
Interim,0,0,0,0, 16.05.15.355,0,0,328.7791,351.4416,4.470292
Interim,0,0,0,0, 16.05.15.407,0,0,329.0716,351.9684,4.29863
Interim,0,0,0,0, 16.05.15.455,0,0,329.7947,352.572,4.052322
Interim,0,0,0,0, 16.05.15.501,0,0,330.1708,352.8959,3.971367
Interim,0,0,0,0, 16.05.15.566,0,0,330.1014,352.9753,4.065915
Interim,0,0,0,0, 16.05.15.601,0,0,329.8261,352.8669,4.024158
Interim,0,0,0,0, 16.05.15.657,0,0,329.4747,352.4123,3.64484
Interim,0,0,0,0, 16.05.15.702,0,0,329.1853,352.024,3.716718
Interim,0,0,0,0, 16.05.15.758,0,0,329.3466,352.1653,3.587174
Interim,0,0,0,0, 16.05.15.803,0,0,329.4644,352,3.554314
Interim,0,0,0,0, 16.05.15.859,0,0,329.0986,351.5279,3.387394
Interim,0,0,0,0, 16.05.15.904,0,0,328.9191,351.1978,3.129201
Interim,0,0,0,0, 16.05.15.960,0,0,329.3579,350.8114,2.77736
Interim,0,0,0,0, 16.05.16.004,0,0,329.8027,350.5085,2.298415
Interim,0,0,0,0, 16.05.16.059,0,0,329.96,350.1798,1.886652
Interim,0,0,0,0, 16.05.16.104,0,0,329.9735,349.9481,1.863632
Interim,0,0,0,0, 16.05.16.150,0,0,329.8292,349.5739,2.034024
Interim,0,0,0,0, 16.05.16.204,0,0,329.6704,349.2927,2.196133
Interim,0,0,0,0, 16.05.16.257,0,0,329.2332,348.4829,2.602394
Interim,0,0,0,0, 16.05.16.302,0,0,329.0557,347.8195,3.031519
Interim,0,0,0,0, 16.05.16.361,0,0,328.8169,347.2289,3.370047
Interim,0,0,0,0, 16.05.16.403,0,0,328.5621,346.7212,3.550235
Interim,0,0,0,0, 16.05.16.458,0,0,328.3938,346.3698,3.685974
Interim,0,0,0,0, 16.05.16.506,0,0,328.3155,346.0506,3.889189
Interim,0,0,0,0, 16.05.16.559,0,0,328.1879,345.6326,4.045922
Interim,0,0,0,0, 16.05.16.604,0,0,328.1808,345.3541,4.013726
Interim,0,0,0,0, 16.05.16.657,0,0,328.3114,345.1222,4.050993
Interim,0,0,0,0, 16.05.16.704,0,0,328.53,344.9922,4.021857
Interim,0,0,0,0, 16.05.16.760,0,0,328.8979,345.0281,3.914971
Interim,0,0,0,0, 16.05.16.812,0,0,329.2153,345.2086,3.659702
Interim,0,0,0,0, 16.05.16.862,0,0,329.3395,345.2695,3.450188
Interim,0,0,0,0, 16.05.16.905,0,0,329.431,345.1082,3.504433
Interim,0,0,0,0, 16.05.16.950,0,0,329.5374,344.9319,3.403912
Interim,0,0,0,0, 16.05.17.008,0,0,329.4975,344.6857,3.158936
Interim,0,0,0,0, 16.05.17.055,0,0,329.2492,344.1913,3.120436
Interim,0,0,0,0, 16.05.17.111,0,0,329.0128,343.598,3.106936
Interim,0,0,0,0, 16.05.17.153,0,0,328.8453,343.2439,3.131649
Interim,0,0,0,0, 16.05.17.210,0,0,328.657,342.8539,3.519352
Interim,0,0,0,0, 16.05.17.254,0,0,328.5103,342.9008,3.629398
Interim,0,0,0,0, 16.05.17.310,0,0,328.4476,343.0878,3.569485
Interim,0,0,0,0, 16.05.17.355,0,0,328.4509,343.3548,3.704051
Interim,0,0,0,0, 16.05.17.410,0,0,328.459,344.1705,3.430608
Interim,0,0,0,0, 16.05.17.455,0,0,328.49,344.9833,3.098657
Interim,0,0,0,0, 16.05.17.511,0,0,328.4272,346.3453,2.567412
Interim,0,0,0,0, 16.05.17.555,0,0,328.3716,347.7784,2.22003
Interim,0,0,0,0, 16.05.17.603,0,0,328.4828,349.4828,2.027069
Interim,0,0,0,0, 16.05.17.656,0,0,328.6542,352.0952,1.727918
Interim,0,0,0,0, 16.05.17.701,0,0,328.8401,354.4312,1.4494
Interim,0,0,0,0, 16.05.17.753,0,0,329.0481,356.7235,1.338816
Interim,0,0,0,0, 16.05.17.806,0,0,329.2874,359.3321,1.245495
Interim,0,0,0,0, 16.05.17.855,0,0,329.4245,1.593938,1.021134
Interim,0,0,0,0, 16.05.17.909,0,0,329.5566,3.01372,0.9214185
Interim,0,0,0,0, 16.05.17.956,0,0,329.8256,4.079592,0.9493588
Interim,0,0,0,0, 16.05.18.012,0,0,329.9477,4.694438,0.9787748
Interim,0,0,0,0, 16.05.18.064,0,0,330.0069,4.83963,0.8280864
Interim,0,0,0,0, 16.05.18.100,0,0,330.0966,4.645003,0.6904219
Interim,0,0,0,0, 16.05.18.156,0,0,330.0803,3.810764,0.5575484
Interim,0,0,0,0, 16.05.18.201,0,0,329.9408,2.69494,0.6354253
Interim,0,0,0,0, 16.05.18.260,0,0,329.6802,0.9021931,0.6510078
Interim,0,0,0,0, 16.05.18.304,0,0,329.5398,359.2179,0.7454245
Interim,0,0,0,0, 16.05.18.362,0,0,329.5766,356.9654,0.8526927
Interim,0,0,0,0, 16.05.18.405,0,0,329.6003,355.0004,0.9657266
Interim,0,0,0,0, 16.05.18.450,0,0,329.5622,353.0564,1.131981
Interim,0,0,0,0, 16.05.18.506,0,0,329.6195,350.7894,1.154046
Interim,0,0,0,0, 16.05.18.551,0,0,329.5568,348.7411,1.201156
Interim,0,0,0,0, 16.05.18.606,0,0,329.4863,346.1833,1.143806
Interim,0,0,0,0, 16.05.18.651,0,0,329.5467,344.2582,1.021748
Interim,0,0,0,0, 16.05.18.707,0,0,329.6095,341.9299,0.9795089
Interim,0,0,0,0, 16.05.18.751,0,0,329.6124,340.0532,0.9759617
Interim,0,0,0,0, 16.05.18.807,0,0,329.6668,338.062,0.9094099
Interim,0,0,0,0, 16.05.18.856,0,0,329.6912,336.6846,0.8781735
Interim,0,0,0,0, 16.05.18.908,0,0,329.7022,335.1745,0.8785312
Interim,0,0,0,0, 16.05.18.953,0,0,329.6358,334.1442,0.9056777
Interim,0,0,0,0, 16.05.19.008,0,0,329.6282,333.5164,0.9098282
Interim,0,0,0,0, 16.05.19.062,0,0,329.6963,332.8796,0.8758937
Interim,0,0,0,0, 16.05.19.106,0,0,329.8173,332.624,0.8489289
Interim,0,0,0,0, 16.05.19.158,0,0,329.9232,332.7142,0.7742452
Interim,0,0,0,0, 16.05.19.206,0,0,329.976,333.3306,0.6785555
Interim,0,0,0,0, 16.05.19.251,0,0,329.9075,334.0643,0.6777727
Interim,0,0,0,0, 16.05.19.317,0,0,329.9624,335.2343,0.7299431
Interim,0,0,0,0, 16.05.19.358,0,0,330.0696,336.1317,0.8549431
Interim,0,0,0,0, 16.05.19.407,0,0,330.3335,337.5418,0.7286252
Interim,0,0,0,0, 16.05.19.452,0,0,330.5414,338.7683,0.6917078
Interim,0,0,0,0, 16.05.19.508,0,0,330.7552,340.2843,0.7004325
Interim,0,0,0,0, 16.05.19.553,0,0,330.7748,341.5651,0.697359
Interim,0,0,0,0, 16.05.19.608,0,0,330.7343,343.2164,0.7447648
Interim,0,0,0,0, 16.05.19.653,0,0,330.5923,344.5033,0.7720522
Interim,0,0,0,0, 16.05.19.710,0,0,330.5508,346.0101,0.7787359
Interim,0,0,0,0, 16.05.19.756,0,0,330.6416,347.2078,0.7053363
Interim,0,0,0,0, 16.05.19.800,0,0,330.7803,348.3103,0.6198171
Interim,0,0,0,0, 16.05.19.859,0,0,330.8078,349.5263,0.5819261
Interim,0,0,0,0, 16.05.19.903,0,0,330.7465,350.2605,0.6392376
Interim,0,0,0,0, 16.05.19.954,0,0,330.7675,350.9142,0.5706115
Interim,0,0,0,0, 16.05.20.000,0,0,330.7592,351.5854,0.5259839
Interim,0,0,0,0, 16.05.20.056,0,0,330.8444,351.8628,0.5142458
Interim,0,0,0,0, 16.05.20.103,0,0,330.8185,351.8247,0.5647091
Interim,0,0,0,0, 16.05.20.157,0,0,330.7835,351.6827,0.5583155
Interim,0,0,0,0, 16.05.20.201,0,0,330.7513,351.4619,0.5478859
Interim,0,0,0,0, 16.05.20.254,0,0,330.727,351.2255,0.5301957
Interim,0,0,0,0, 16.05.20.302,0,0,330.7174,350.8778,0.4706903
Interim,0,0,0,0, 16.05.20.360,0,0,330.6685,350.582,0.3854184
Interim,0,0,0,0, 16.05.20.414,0,0,330.6273,350.3409,0.3247693
Interim,0,0,0,0, 16.05.20.459,0,0,330.5351,350.0583,0.2639714
Interim,0,0,0,0, 16.05.20.503,0,0,330.4247,349.8351,0.1935316
Interim,0,0,0,0, 16.05.20.568,0,0,330.3715,349.6986,0.1372395
Interim,0,0,0,0, 16.05.20.604,0,0,330.4609,349.6401,0.03401035
Interim,0,0,0,0, 16.05.20.660,0,0,330.6632,349.6346,359.7831
Interim,0,0,0,0, 16.05.20.704,0,0,330.7224,349.4939,359.7378
Interim,0,0,0,0, 16.05.20.760,0,0,330.7486,349.3799,359.8232
Interim,0,0,0,0, 16.05.20.805,0,0,330.7565,349.4065,359.8437
Interim,0,0,0,0, 16.05.20.851,0,0,330.6445,349.4805,359.8533
Interim,0,0,0,0, 16.05.20.907,0,0,330.5099,349.666,359.8577
Interim,0,0,0,0, 16.05.20.954,0,0,330.5205,349.8692,359.8442
Interim,0,0,0,0, 16.05.21.009,0,0,330.5239,349.965,359.8073
Interim,0,0,0,0, 16.05.21.052,0,0,330.4124,349.9306,359.8742
Interim,0,0,0,0, 16.05.21.109,0,0,330.3973,349.9207,359.8495
Interim,0,0,0,0, 16.05.21.153,0,0,330.4416,349.9067,359.8883
Interim,0,0,0,0, 16.05.21.201,0,0,330.5654,349.8647,359.9251
Interim,0,0,0,0, 16.05.21.255,0,0,330.6653,349.8831,359.9469
Interim,0,0,0,0, 16.05.21.311,0,0,330.6861,349.8298,359.9755
Interim,0,0,0,0, 16.05.21.351,0,0,330.6972,349.8018,359.9928
Interim,0,0,0,0, 16.05.21.402,0,0,330.724,349.6227,0.06362262
Interim,0,0,0,0, 16.05.21.455,0,0,330.6739,349.4886,0.05134144
Interim,0,0,0,0, 16.05.21.507,0,0,330.6457,349.4428,359.9851
Interim,0,0,0,0, 16.05.21.554,0,0,330.594,349.4265,359.9684
Interim,0,0,0,0, 16.05.21.610,0,0,330.5171,349.3428,0.02813079
Interim,0,0,0,0, 16.05.21.663,0,0,330.5296,349.4194,359.9253
Interim,0,0,0,0, 16.05.21.711,0,0,330.4483,349.4463,-0.0007515451
Interim,0,0,0,0, 16.05.21.756,0,0,330.4566,349.4787,359.979
Interim,0,0,0,0, 16.05.21.819,0,0,330.4775,349.55,359.8885
Interim,0,0,0,0, 16.05.21.855,0,0,330.4668,349.6105,359.8232
Interim,0,0,0,0, 16.05.21.901,0,0,330.5109,349.7057,359.7878
Interim,0,0,0,0, 16.05.21.957,0,0,330.5063,349.7826,359.7589
Interim,0,0,0,0, 16.05.22.002,0,0,330.4361,349.8235,359.7341
Interim,0,0,0,0, 16.05.22.058,0,0,330.4337,349.9437,359.6967
Interim,0,0,0,0, 16.05.22.100,0,0,330.457,349.989,359.6821
Interim,0,0,0,0, 16.05.22.155,0,0,330.4392,349.9735,359.7035
Interim,0,0,0,0, 16.05.22.211,0,0,330.3247,349.9758,359.6951
Interim,0,0,0,0, 16.05.22.255,0,0,330.1784,350.0725,359.6755
Interim,0,0,0,0, 16.05.22.312,0,0,330.051,350.1349,359.698
Interim,0,0,0,0, 16.05.22.356,0,0,329.9076,350.1075,359.6551
Interim,0,0,0,0, 16.05.22.401,0,0,329.765,350.2289,359.6063
Interim,0,0,0,0, 16.05.22.457,0,0,329.6815,350.4278,359.4978
Interim,0,0,0,0, 16.05.22.502,0,0,329.7019,350.4897,359.4007
Interim,0,0,0,0, 16.05.22.557,0,0,329.6841,350.5865,359.2603
Interim,0,0,0,0, 16.05.22.605,0,0,329.5361,350.657,359.1586
Interim,0,0,0,0, 16.05.22.659,0,0,329.3029,350.7957,359.0752
Interim,0,0,0,0, 16.05.22.704,0,0,329.1961,350.9053,358.9942
Interim,0,0,0,0, 16.05.22.759,0,0,329.0292,350.9198,359.0624
Interim,0,0,0,0, 16.05.22.806,0,0,328.8834,351.094,358.9586
Interim,0,0,0,0, 16.05.22.850,0,0,328.7608,351.2436,358.958
Interim,0,0,0,0, 16.05.22.914,0,0,328.625,351.3089,358.999
Interim,0,0,0,0, 16.05.22.950,0,0,328.4488,351.3192,359.0533
Interim,0,0,0,0, 16.05.23.007,0,0,328.2111,351.3672,359.0893
Interim,0,0,0,0, 16.05.23.051,0,0,328.0055,351.4035,359.1237
Interim,0,0,0,0, 16.05.23.107,0,0,327.7318,351.4573,359.1397
Interim,0,0,0,0, 16.05.23.152,0,0,327.4166,351.5062,359.1671
Interim,0,0,0,0, 16.05.23.208,0,0,326.9635,351.5318,359.2064
Interim,0,0,0,0, 16.05.23.253,0,0,326.7047,351.7031,359.1125
Interim,0,0,0,0, 16.05.23.308,0,0,326.4017,351.7228,359.1006
Interim,0,0,0,0, 16.05.23.353,0,0,326.1916,351.7889,359.0273
Interim,0,0,0,0, 16.05.23.409,0,0,325.9766,351.9075,358.9057
Interim,0,0,0,0, 16.05.23.454,0,0,325.7958,351.9375,358.8144
Interim,0,0,0,0, 16.05.23.511,0,0,325.5356,351.7751,358.71
Interim,0,0,0,0, 16.05.23.571,0,0,325.3912,351.8062,358.6414
Interim,0,0,0,0, 16.05.23.619,0,0,325.3513,352.0068,358.5129
Interim,0,0,0,0, 16.05.23.652,0,0,325.1211,352.296,358.2741
Interim,0,0,0,0, 16.05.23.709,0,0,324.8225,352.287,358.2994
Interim,0,0,0,0, 16.05.23.752,0,0,324.6008,352.2908,358.3446
Interim,0,0,0,0, 16.05.23.808,0,0,324.2283,352.1486,358.5408
Interim,0,0,0,0, 16.05.23.856,0,0,324.0027,352.1379,358.6181
Interim,0,0,0,0, 16.05.23.909,0,0,323.9541,352.1122,358.4811
Interim,0,0,0,0, 16.05.23.954,0,0,323.916,352.1613,358.4037
Interim,0,0,0,0, 16.05.24.006,0,0,323.8225,352.2804,358.3472
Interim,0,0,0,0, 16.05.24.054,0,0,323.6348,352.3056,358.4312
Interim,0,0,0,0, 16.05.24.109,0,0,323.3313,352.4113,358.5109
Interim,0,0,0,0, 16.05.24.170,0,0,323.1088,352.4771,358.5789
Interim,0,0,0,0, 16.05.24.210,0,0,322.8576,352.4776,358.6493
Interim,0,0,0,0, 16.05.24.255,0,0,322.6235,352.4502,358.6787
Interim,0,0,0,0, 16.05.24.319,0,0,322.4471,352.5843,358.571
Interim,0,0,0,0, 16.05.24.356,0,0,322.2594,352.7086,358.4722
Interim,0,0,0,0, 16.05.24.412,0,0,321.9638,352.8465,358.449
Interim,0,0,0,0, 16.05.24.457,0,0,321.8534,353.0337,358.2598
Interim,0,0,0,0, 16.05.24.501,0,0,321.7449,353.2397,358.1318
Interim,0,0,0,0, 16.05.24.557,0,0,321.6198,353.5236,357.9654
Interim,0,0,0,0, 16.05.24.602,0,0,321.5332,353.5711,357.9196
Interim,0,0,0,0, 16.05.24.657,0,0,321.559,353.9355,357.7867
Interim,0,0,0,0, 16.05.24.703,0,0,321.532,354.1706,357.6475
Interim,0,0,0,0, 16.05.24.761,0,0,321.3783,354.3727,357.52
Interim,0,0,0,0, 16.05.24.800,0,0,321.3132,354.484,357.4443
Interim,0,0,0,0, 16.05.24.861,0,0,321.1878,355.0151,357.3656
Interim,0,0,0,0, 16.05.24.905,0,0,321.1395,355.3767,357.2326
Interim,0,0,0,0, 16.05.24.953,0,0,321.0662,355.6897,357.1941
Interim,0,0,0,0, 16.05.25.005,0,0,321.1283,356.3382,356.965
Interim,0,0,0,0, 16.05.25.050,0,0,321.1516,356.8025,356.9117
Interim,0,0,0,0, 16.05.25.103,0,0,321.3135,357.2078,356.8531
Interim,0,0,0,0, 16.05.25.151,0,0,321.4684,357.829,356.8062
Interim,0,0,0,0, 16.05.25.210,0,0,321.6164,358.2956,356.8059
Interim,0,0,0,0, 16.05.25.262,0,0,321.769,358.6078,356.8125
Interim,0,0,0,0, 16.05.25.307,0,0,321.806,358.9578,356.9001
Interim,0,0,0,0, 16.05.25.352,0,0,322.0014,359.367,356.8234
Interim,0,0,0,0, 16.05.25.415,0,0,322.4707,359.923,356.7048
Interim,0,0,0,0, 16.05.25.452,0,0,322.9976,0.2902742,356.7704
Interim,0,0,0,0, 16.05.25.509,0,0,323.6191,1.062515,356.8928
Interim,0,0,0,0, 16.05.25.553,0,0,324.1355,1.59138,356.9463
Interim,0,0,0,0, 16.05.25.610,0,0,324.4514,1.934133,357.2349
Interim,0,0,0,0, 16.05.25.656,0,0,324.8464,2.22561,357.4138
Interim,0,0,0,0, 16.05.25.711,0,0,325.3852,2.419684,357.5961
Interim,0,0,0,0, 16.05.25.751,0,0,326.0167,2.559015,357.6243
Interim,0,0,0,0, 16.05.25.808,0,0,327.7161,2.425406,357.7391
Interim,0,0,0,0, 16.05.25.852,0,0,328.6157,2.751676,357.4212
Interim,0,0,0,0, 16.05.25.909,0,0,328.6891,3.416005,356.9178
Interim,0,0,0,0, 16.05.25.954,0,0,328.373,3.613234,357.0307
Interim,0,0,0,0, 16.05.26.009,0,0,327.9649,3.375423,357.574
Interim,0,0,0,0, 16.05.26.053,0,0,327.6054,3.184566,358.0103
Interim,0,0,0,0, 16.05.26.109,0,0,327.5203,3.097266,358.3625
Interim,0,0,0,0, 16.05.26.154,0,0,327.7188,3.127195,358.5993
Interim,0,0,0,0, 16.05.26.202,0,0,327.832,3.105879,358.7245
Interim,0,0,0,0, 16.05.26.257,0,0,328.0266,3.154393,358.6388
Interim,0,0,0,0, 16.05.26.302,0,0,328.1927,3.174672,358.6102
Interim,0,0,0,0, 16.05.26.355,0,0,328.3452,3.191385,358.6727
Interim,0,0,0,0, 16.05.26.402,0,0,328.4606,3.231822,358.653
Interim,0,0,0,0, 16.05.26.460,0,0,328.2658,3.277079,358.6157
Interim,0,0,0,0, 16.05.26.511,0,0,328.1561,3.285014,358.5901
Interim,0,0,0,0, 16.05.26.561,0,0,328.1914,3.273972,358.5537
Interim,0,0,0,0, 16.05.26.604,0,0,328.222,3.299946,358.5026
Interim,0,0,0,0, 16.05.26.670,0,0,328.2963,3.309616,358.5817
Interim,0,0,0,0, 16.05.26.704,0,0,328.2393,3.213366,358.7153
Interim,0,0,0,0, 16.05.26.759,0,0,328.2342,3.081441,358.8833
Interim,0,0,0,0, 16.05.26.803,0,0,328.2736,2.902638,359.033
Interim,0,0,0,0, 16.05.26.859,0,0,328.4346,2.398746,359.4756
Interim,0,0,0,0, 16.05.26.903,0,0,328.5002,2.022648,0.1084926
Interim,0,0,0,0, 16.05.26.959,0,0,328.7292,2.043251,0.3986781
Interim,0,0,0,0, 16.05.27.004,0,0,328.7711,2.271097,0.5103424
Interim,0,0,0,0, 16.05.27.061,0,0,328.8597,2.738935,0.6086841
Interim,0,0,0,0, 16.05.27.106,0,0,328.9602,3.290388,0.4129907
Interim,0,0,0,0, 16.05.27.151,0,0,328.8302,3.842574,0.2123761
Interim,0,0,0,0, 16.05.27.207,0,0,328.5587,4.279066,0.4473157
Interim,0,0,0,0, 16.05.27.252,0,0,328.5646,4.671666,0.5394996
Interim,0,0,0,0, 16.05.27.307,0,0,328.39,5.244311,0.7400584
Interim,0,0,0,0, 16.05.27.352,0,0,328.2134,5.483371,0.926948
Interim,0,0,0,0, 16.05.27.408,0,0,327.7153,5.239467,1.450452
Interim,0,0,0,0, 16.05.27.457,0,0,327.0287,4.616122,2.237518
Interim,0,0,0,0, 16.05.27.508,0,0,326.1474,3.677763,3.245558
Interim,0,0,0,0, 16.05.27.554,0,0,325.9856,3.404042,3.467498
Interim,0,0,0,0, 16.05.27.608,0,0,326.0395,3.193392,3.396627
Interim,0,0,0,0, 16.05.27.652,0,0,326.116,2.771122,3.301301
Interim,0,0,0,0, 16.05.27.706,0,0,326.4685,2.486445,3.191594
Interim,0,0,0,0, 16.05.27.763,0,0,326.9681,2.48494,3.109076
Interim,0,0,0,0, 16.05.27.810,0,0,327.2478,2.495436,3.029235
Interim,0,0,0,0, 16.05.27.852,0,0,327.9182,2.206186,2.732118
Interim,0,0,0,0, 16.05.27.915,0,0,328.1187,2.088204,2.658257
Interim,0,0,0,0, 16.05.27.953,0,0,328.164,2.054465,2.561381
Interim,0,0,0,0, 16.05.28.008,0,0,327.9884,1.889305,2.334146
Interim,0,0,0,0, 16.05.28.053,0,0,328.0242,1.702488,2.086993
Interim,0,0,0,0, 16.05.28.110,0,0,328.1216,1.409814,1.702394
Interim,0,0,0,0, 16.05.28.154,0,0,328.2483,1.04845,1.407488
Interim,0,0,0,0, 16.05.28.210,0,0,328.431,0.3513364,1.198895
Interim,0,0,0,0, 16.05.28.253,0,0,328.5629,359.7228,1.198696
Interim,0,0,0,0, 16.05.28.309,0,0,328.6645,358.9875,1.162003
Interim,0,0,0,0, 16.05.28.354,0,0,328.7642,358.453,1.144521
Interim,0,0,0,0, 16.05.28.411,0,0,328.8651,357.8026,1.118283
Interim,0,0,0,0, 16.05.28.458,0,0,328.8274,357.1569,1.236166
Interim,0,0,0,0, 16.05.28.503,0,0,328.8341,356.5502,1.305827
Interim,0,0,0,0, 16.05.28.552,0,0,328.8046,355.959,1.310824
Interim,0,0,0,0, 16.05.28.604,0,0,328.895,355.3768,1.149066
Interim,0,0,0,0, 16.05.28.659,0,0,328.9782,354.8999,0.95064
Interim,0,0,0,0, 16.05.28.701,0,0,329.1167,354.7247,0.8114049
Interim,0,0,0,0, 16.05.28.761,0,0,329.4966,354.3574,0.6037801
Interim,0,0,0,0, 16.05.28.805,0,0,329.7281,354.0943,0.5409184
Interim,0,0,0,0, 16.05.28.858,0,0,329.8822,353.7277,0.7148358
Interim,0,0,0,0, 16.05.28.904,0,0,330.0504,353.2517,0.9670417
Interim,0,0,0,0, 16.05.28.966,0,0,330.0606,352.9627,1.09679
Interim,0,0,0,0, 16.05.29.013,0,0,330.133,352.8861,1.192261
Interim,0,0,0,0, 16.05.29.060,0,0,330.2253,352.7853,1.291423
Interim,0,0,0,0, 16.05.29.105,0,0,330.3856,352.8112,1.396431
Interim,0,0,0,0, 16.05.29.169,0,0,330.6378,352.8293,1.600454
Interim,0,0,0,0, 16.05.29.206,0,0,330.8403,352.8407,1.773092
Interim,0,0,0,0, 16.05.29.251,0,0,330.968,352.7061,1.926522
Interim,0,0,0,0, 16.05.29.306,0,0,331.1279,352.4239,2.168436
Interim,0,0,0,0, 16.05.29.351,0,0,331.2929,352.1877,2.344335
Interim,0,0,0,0, 16.05.29.407,0,0,331.5855,351.9733,2.392476
Interim,0,0,0,0, 16.05.29.451,0,0,331.6729,351.7982,2.307631
Interim,0,0,0,0, 16.05.29.508,0,0,331.7236,351.6404,2.127785
Interim,0,0,0,0, 16.05.29.553,0,0,331.7386,351.4847,2.089442
Interim,0,0,0,0, 16.05.29.609,0,0,331.7374,351.1641,2.203202
Interim,0,0,0,0, 16.05.29.653,0,0,331.7074,350.8292,2.306746
Interim,0,0,0,0, 16.05.29.709,0,0,331.8073,350.4726,2.289619
Interim,0,0,0,0, 16.05.29.754,0,0,331.8933,350.1019,2.208888
Interim,0,0,0,0, 16.05.29.802,0,0,331.852,349.7564,2.091046
Interim,0,0,0,0, 16.05.29.857,0,0,331.7035,349.4156,1.938368
Interim,0,0,0,0, 16.05.29.911,0,0,331.6162,349.1903,1.88436
Interim,0,0,0,0, 16.05.29.954,0,0,331.6387,349.0691,1.867004
Interim,0,0,0,0, 16.05.30.010,0,0,331.8542,348.684,1.950926
Interim,0,0,0,0, 16.05.30.053,0,0,332.0524,348.1701,2.117988
Interim,0,0,0,0, 16.05.30.105,0,0,332.3367,347.5457,2.372176
